,System Pout Consumption Energy [kWh],System Pout AC-coupling Energy [kWh],System Pin Consumption Energy [kWh],System Pin Injection Energy [kWh],System Batt Charge Energy [kWh],System Batt Discharge Energy [kWh],Solar Power Energy [kWh]
2018-03-18,11.068833333333322,0.0,6.702499999999999,0.0,6.064249853333332,-5.678742906666665,5.042166666666657
2018-03-19,12.990499999999987,0.0,9.315833333333327,0.0,5.138081724999998,-3.9790975283333254,5.106000000000004
2018-03-20,18.034166666666625,0.0,11.74299999999999,0.0,6.769343093333329,-6.585209078333335,6.924833333333323
2018-03-21,16.37683333333336,0.0,11.506666666666668,0.0,7.742827376666656,-6.305579240000003,6.638666666666668
2018-03-22,21.199833333333284,0.0,15.238666666666653,0.0,8.547027448333337,-6.757991604999998,8.334833333333314
2018-03-23,21.552000000000096,0.0,14.660833333333326,0.0,7.375623056666669,-6.85289836166667,7.88266666666664
2018-03-24,19.06766666666673,0.0,11.57599999999999,0.0,7.564460365000005,-7.659000203333336,7.9314999999999936
2018-03-25,19.94399999999995,0.0,11.403833333333337,0.0,8.826300999999996,-8.381912775,9.734333333333321
2018-03-26,20.009166666666733,0.0,14.30633333333333,0.0,8.42935727,-7.506973294999994,7.156166666666662
2018-03-27,16.88616666666661,0.0,9.144666666666664,0.0,9.261803771666669,-8.974651720000004,8.741166666666658
2018-03-28,19.272666666666556,0.0,14.982000000000028,0.0,8.327286695000002,-7.3627695916666624,5.8571666666666555
2018-03-29,20.142166666666622,0.0,19.52866666666665,0.0,10.32225938000001,-10.484117841666672,0.9688333333333358
2018-03-30,20.442833333333294,0.0,16.165333333333344,0.0,9.031147376666663,-6.923795581666666,6.7693333333333205
2018-03-31,18.578333333333244,0.0,11.048500000000008,0.0,10.136904243333325,-9.433541054999997,8.888666666666659
2018-04-01,17.869999999999987,0.0,14.548000000000005,0.0,8.522920781666672,-7.066268311666662,5.1825
2018-04-02,18.63749999999995,0.0,9.667166666666665,0.0,7.9010545433333315,-8.272733370000005,9.195999999999978
2018-04-03,17.55866666666666,0.0,13.670666666666659,0.0,7.827668639999986,-6.098555430000008,6.106166666666677
2018-04-04,16.291499999999996,0.0,10.947833333333323,0.0,6.273130811666661,-6.155528489999994,6.082666666666667
2018-04-05,19.609000000000037,0.0,14.92650000000004,0.0,7.623087628333342,-6.488033533333333,6.346333333333344
2018-04-06,17.565999999999992,0.0,11.918499999999991,0.0,7.928139068333341,-5.812252188333336,8.190833333333329
2018-04-07,21.39899999999992,0.0,10.790166666666655,0.0,8.129120296666652,-8.694026405000006,10.803833333333317
2018-04-08,17.400999999999932,0.0,10.989666666666663,0.0,7.090736258333347,-6.059452723333333,8.06516666666663
2018-04-09,16.228500000000015,0.0,8.305333333333328,0.0,7.722912958333333,-6.8020774966666755,9.494833333333306
2018-04-10,16.13750000000004,0.0,11.138833333333313,0.0,6.8318920400000005,-5.883170143333334,6.520333333333325
2018-04-11,15.638499999999992,0.0,8.78616666666667,0.0,6.896793238333335,-6.364701316666666,7.775999999999992
2018-04-12,18.303999999999995,0.0,11.273999999999964,0.0,7.2865869950000075,-6.5616599899999954,8.411666666666664
2018-04-13,17.530166666666673,0.0,8.985499999999995,0.0,7.843381733333337,-7.049034654999998,10.057833333333338
2018-04-14,16.407000000000004,0.0,9.790000000000004,0.0,7.232325398333331,-5.836048860000002,8.686333333333327
2018-04-15,18.587666666666625,0.0,12.690166666666672,0.0,6.972416773333339,-6.4007070633333285,6.960833333333329
2018-04-16,,,,,,,
2018-04-17,19.190666666666527,0.0,11.184166666666675,0.0,8.135251628333316,-7.30668415166667,9.519166666666658
2018-04-18,19.453833333333378,0.0,11.894833333333336,0.0,7.621923130000001,-6.806173660000007,9.032833333333341
